Location,L,Species,spab,natexo,T,area,perimeter,complexity,dperimeter,sqrtarea,height,dsqrtarea,dcomplexity,distance,ndetect
BBG,1,Acanthaceae 2,ACAN,e1,1,20.322,25.684,5.697435768,38.156,4.507992902,0.4,-1.422007098,0.007435768,0.5,10
BBG,1,Acanthaceae 2,ACAN,e1,1,18.76,27.134,6.264658529,36.706,4.331281566,1.5,-1.598718434,0.574658529,0.6,10
BBG,1,Acanthaceae 2,ACAN,e1,1,18.317,27.642,6.458658024,36.198,4.279836445,0.35,-1.650163555,0.768658024,1.1,10
BBG,1,Acanthaceae 2,ACAN,e1,1,20.776,31.154,6.834910739,32.686,4.558069767,1.7,-1.371930233,1.144910739,1.382,10
BBG,1,Acanthaceae 2,ACAN,e1,1,24.238,35.503,7.211351453,28.337,4.923210335,0.9,-1.006789665,1.521351453,1.693,10
BBG,1,Acanthaceae 2,ACAN,e1,1,42.127,41.104,6.332917356,22.736,6.490531565,0.37,0.560531565,0.642917356,2.082,10
BBG,1,Acanthaceae 2,ACAN,e1,1,19.05,25.706,5.889616451,38.134,4.364630569,1.12,-1.565369431,0.199616451,2.697,10
BBG,1,Acanthaceae 2,ACAN,e1,1,16.253,19.493,4.83517186,44.347,4.031500961,0.8,-1.898499039,-0.85482814,2.791,10
BBG,1,Acanthaceae 2,ACAN,e1,1,21.538,30.819,6.640730513,33.021,4.640905084,1.1,-1.289094916,0.950730513,3.485,10
BBG,1,Acanthaceae 2,ACAN,e1,1,17.346,33.763,8.106648782,30.077,4.164852939,1.22,-1.765147061,2.416648782,3.517,10
BBG,1,Achyranthes bidentata,ACBI,e2,2,3.08,12.406,7.068974558,51.434,1.754992877,0.47,-4.175007123,1.378974558,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,7.396,16.119,5.927064373,47.721,2.719558788,0.25,-3.210441212,0.237064373,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,7.723,16.31,5.868957217,47.53,2.779028607,0.3,-3.150971393,0.178957217,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,8.03,19.65,6.934334415,44.19,2.833725463,0.21,-3.096274537,1.244334415,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,10.79,19.615,5.971419612,44.225,3.284813541,0.21,-2.645186459,0.281419612,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,11.082,19.775,5.94028688,44.065,3.328963803,0.2,-2.601036197,0.25028688,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,13.175,22.317,6.148377173,41.523,3.629738283,0.25,-2.300261717,0.458377173,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,33.503,28.678,4.9545819,35.162,5.788177606,0.6,-0.141822394,-0.7354181,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,37.4,27.546,4.504252643,36.294,6.115553941,0.5,0.185553941,-1.185747357,0,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,5.365,13.261,5.725209878,50.579,2.316246964,0.35,-3.613753036,0.035209878,0.55,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,13.984,26.455,7.074439848,37.385,3.739518686,0.23,-2.190481314,1.384439848,0.6,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,30.22,25.127,4.570812535,38.713,5.497272051,0.5,-0.432727949,-1.119187465,0.6,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,10.256,18.386,5.741141484,45.454,3.202499024,0.15,-2.727500976,0.051141484,0.81,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,57.171,37.253,4.926895581,26.587,7.561150706,0.45,1.631150706,-0.763104419,1.1,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,9.397,16.662,5.435412599,47.178,3.065452658,0.21,-2.864547342,-0.254587401,1.153,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,10.824,19.161,5.824039061,44.679,3.289984802,0.4,-2.640015198,0.134039061,1.349,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,7.9,16.673,5.93198719,47.167,2.810693865,0.22,-3.119306135,0.24198719,1.711,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,20.88,23.069,5.048513499,40.771,4.569463864,0.3,-1.360536136,-0.641486501,2.1,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,31.775,32.997,5.853716389,30.843,5.63693179,0.25,-0.29306821,0.163716389,2.237,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,6.334,14.935,5.934254905,48.905,2.516743928,0.25,-3.413256072,0.244254905,2.416,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,18.98,25.86,5.935815814,37.98,4.356604182,0.15,-1.573395818,0.245815814,2.575,22
BBG,1,Achyranthes bidentata,ACBI,e2,2,15.751,24.615,6.20220011,39.225,3.968752953,0.13,-1.961247047,0.51220011,2.753,22
CBG,3,Ageratina riparia,AGRI,e3,3,8.256,17.262,6.007672783,46.578,2.873325599,0.17,-3.056674401,0.317672783,0,20
CBG,3,Ageratina riparia,AGRI,e3,3,22.073,30.464,6.484197659,33.376,4.698191141,0.213,-1.231808859,0.794197659,0,20
CBG,3,Ageratina riparia,AGRI,e3,3,14.937,23.258,6.01784054,40.582,3.864841523,0.24,-2.065158477,0.32784054,0.9,20
CBG,3,Ageratina riparia,AGRI,e3,3,5.911,17.993,7.400705122,45.847,2.43125482,0.1,-3.49874518,1.710705122,1.21,20
BBG,3,Ageratina riparia,AGRI,e3,3,16.209,25.554,6.347179484,38.286,4.026040238,0.76,-1.903959762,0.657179484,1.752,20
CBG,3,Ageratina riparia,AGRI,e3,3,15.162,24.255,6.229067439,39.585,3.893841291,0.32,-2.036158709,0.539067439,2.21,20
CBG,3,Ageratina riparia,AGRI,e3,3,9.469,20.454,6.647007876,43.386,3.077174028,0.35,-2.852825972,0.957007876,2.263,20
CBG,3,Ageratina riparia,AGRI,e3,3,9.436,23.816,7.753090538,40.024,3.071807286,0.21,-2.858192714,2.063090538,2.585,20
CBG,3,Ageratina riparia,AGRI,e3,3,9.589,21.298,6.877841502,42.542,3.096611051,0.132,-2.833388949,1.187841502,2.745,20
CBG,3,Ageratina riparia,AGRI,e3,3,4.342,15.131,7.261439473,48.709,2.083746626,0.16,-3.846253374,1.571439473,2.9,20
CBG,3,Ageratina riparia,AGRI,e3,3,14.744,25.808,6.721197992,38.032,3.839791661,1.8,-2.090208339,1.031197992,2.909,20
CBG,3,Ageratina riparia,AGRI,e3,3,7.607,19.274,6.988197114,44.566,2.758079042,0.25,-3.171920958,1.298197114,3.069,20
CBG,3,Ageratina riparia,AGRI,e3,3,10.982,22.057,6.65588368,41.783,3.313910077,0.3,-2.616089923,0.96588368,3.635,20
CBG,3,Ageratina riparia,AGRI,e3,3,18.557,29.879,6.936049349,33.961,4.307783653,0.3,-1.622216347,1.246049349,3.795,20
CBG,3,Ageratina riparia,AGRI,e3,3,17.774,27.55,6.534750569,36.29,4.2159222,0.2,-1.7140778,0.844750569,4.192,20
CBG,3,Ageratina riparia,AGRI,e3,3,17.661,29.21,6.950625858,34.63,4.202499256,6.3,-1.727500744,1.260625858,4.479,20
CBG,3,Ageratina riparia,AGRI,e3,3,15.465,24.971,6.349813539,38.869,3.93255642,0.4,-1.99744358,0.659813539,4.53,20
CBG,3,Ageratina riparia,AGRI,e3,3,14.175,25.867,6.870439653,37.973,3.764970119,0.15,-2.165029881,1.180439653,4.574,20
CBG,3,Ageratina riparia,AGRI,e3,3,12.771,26.141,7.31492276,37.699,3.573653593,0.3,-2.356346407,1.62492276,4.828,20
CBG,3,Ageratina riparia,AGRI,e3,3,11.299,21.581,6.420244396,42.259,3.361398518,0.3,-2.568601482,0.730244396,5.576,20
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,12.338,21.798,6.205749848,42.042,3.512548932,0.3,-2.417451068,0.515749848,0,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,12.917,25.757,7.166621171,38.083,3.594022816,0.3,-2.335977184,1.476621171,0,54
KBG,4,Austroeupatorium inulifolium,AUIN,e4,4,28.284,28.416,5.343090495,35.424,5.318270396,1.1,-0.611729604,-0.346909505,0,54
KBG,4,Austroeupatorium inulifolium,AUIN,e4,4,29.187,26.219,4.853124074,37.621,5.402499422,0.95,-0.527500578,-0.836875926,0,54
KBG,4,Austroeupatorium inulifolium,AUIN,e4,4,38.022,33.084,5.365380585,30.756,6.16619818,1.55,0.23619818,-0.324619415,0,54
BBG,1,Austroeupatorium inulifolium,AUIN,e4,4,42.177,43.579,6.710261075,20.261,6.494382188,0.4,0.564382188,1.020261075,0,54
KBG,4,Austroeupatorium inulifolium,AUIN,e4,4,31.389,31.418,5.607764866,32.422,5.602588687,0.25,-0.327411313,-0.082235134,0.4,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,88.268,69.078,7.352552122,5.238,9.395105109,1.65,3.465105109,1.662552122,0.5,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,7.712,20.088,7.23357834,43.752,2.777048793,0.2,-3.152951207,1.54357834,0.629,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,11.298,21.648,6.440461583,42.192,3.361249768,0.3,-2.568750232,0.750461583,0.635,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,15.277,26.596,6.804516711,37.244,3.908580305,0.3,-2.021419695,1.114516711,0.637,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,11.412,23.79,7.04228441,40.05,3.378165182,0.45,-2.551834818,1.35228441,0.725,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,14.179,24.794,6.584515064,39.046,3.765501295,0.3,-2.164498705,0.894515064,0.816,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,54.074,42.587,5.791389833,21.253,7.353502567,2.1,1.423502567,0.101389833,0.9,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,11.15,22.484,6.733426796,41.356,3.339161571,0.4,-2.590838429,1.043426796,0.964,54
BBG,1,Austroeupatorium inulifolium,AUIN,e4,4,45.078,41.881,6.237847071,21.959,6.714015192,0.4,0.784015192,0.547847071,1.05,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,11.224,23.403,6.985503323,40.437,3.350223873,0.4,-2.579776127,1.295503323,1.087,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,78.394,55.382,6.254998689,8.458,8.854038627,1.477,2.924038627,0.564998689,1.196,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,9.541,21.722,7.032388603,42.118,3.088850919,0.3,-2.841149081,1.342388603,1.225,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,7.456,18.967,6.946174583,44.873,2.730567707,0.3,-3.199432293,1.256174583,1.267,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,9.518,19.464,6.308981381,44.376,3.085125605,0.5,-2.844874395,0.618981381,1.296,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,11.358,21.159,6.278330971,42.681,3.370163201,0.36,-2.559836799,0.588330971,1.327,54
KBG,4,Austroeupatorium inulifolium,AUIN,e4,4,31.623,26.701,4.748167081,37.139,5.623433115,0.7,-0.306566885,-0.941832919,1.451,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,52.987,44.264,6.080873816,19.576,7.279216991,1.6,1.349216991,0.390873816,1.479,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,27.273,30.779,5.893700321,33.061,5.22235579,0.41,-0.70764421,0.203700321,1.546,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,54.082,43.256,5.8819318,20.584,7.354046505,1.23,1.424046505,0.1919318,1.667,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,86.075,64.598,6.962746064,0.758,9.277661343,2.869,3.347661343,1.272746064,2.056,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,31.416,38.1,6.797504935,25.74,5.60499777,2.1,-0.32500223,1.107504935,2.063,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,96.256,61.57,6.275599915,2.27,9.811014219,3.72,3.881014219,0.585599915,2.295,54
KBG,4,Austroeupatorium inulifolium,AUIN,e4,4,22.713,26.844,5.632613863,36.996,4.765815775,1.5,-1.164184225,-0.057386137,2.299,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,16.445,26.294,6.483950933,37.546,4.055243519,0.51,-1.874756481,0.793950933,2.339,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,11.062,19.226,5.78058925,44.614,3.325958508,0.41,-2.604041492,0.09058925,2.355,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,9.732,21.041,6.74474176,42.799,3.119615361,0.35,-2.810384639,1.05474176,2.39,54
BBG,1,Austroeupatorium inulifolium,AUIN,e4,4,111.772,95.62,9.044451377,31.78,10.57222777,1.1,4.64222777,3.354451377,2.4,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,64.399,58.959,7.347008581,4.881,8.024898753,1.179,2.094898753,1.657008581,2.423,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,69.44,47.602,5.7124228,16.238,8.333066662,4.048,2.403066662,0.0224228,2.491,54
BRBG,2,Austroeupatorium inulifolium,AUIN,e4,4,13.433,24.67,6.731047295,39.17,3.665105728,0.4,-2.264894272,1.041047295,2.555,54
CBG,3,Austroeupatorium inulifolium,AUIN,e4,4,208.837,105.141,7.275592731,41.301,14.45119372,2.987,8.52119372,1.585592731,2.729,54
BBG,1,Austroeupatorium inulifolium,AUIN,e4,4,61.214,55.629,7.110102694,8.211,7.823937628,0.54,1.893937628,1.420102694,2.792,54
